# Grating efficiency for Richardson/Newport 53-*-138R 110.5 l/mm grating with
# 22° nominal blaze angle. Order m=4, unpolarized light
# (Similar grating is used in Keck+NIRES and Gemini+GNIRS)
# Synthesized from S-pol and P-pol lines on Newport grating specsheet at
# https://www.gratinglab.com/Products/Product_Tables/Efficiency/Efficiency.aspx?catalog=53-*-138R
Wavelength [um],Relative Efficiency [%]
1.808,74.73815282748192601
1.809,74.52146949943659138
1.810,74.30478617139127095
1.811,74.08810284334593632
1.812,73.87141951530068695
1.813,73.65473618725535232
1.814,73.43805285921003190
1.815,73.22136953116478253
1.816,73.00468620311946211
1.817,72.78800287507414168
1.818,72.57131954702889232
1.819,72.35463621898354347
1.820,72.13795289093822305
1.821,71.92126956289297368
1.822,71.70458623484765326
1.823,71.48790290680231863
1.824,71.27121957875699820
1.825,71.05453625071174883
1.826,70.83785292266641420
1.827,70.62116959462107957
1.828,70.40448626657584441
1.829,70.18780293853050978
1.830,69.97111961048518936
1.831,69.75443628243993999
1.832,69.53775295439461956
1.833,69.32106962634927072
1.834,69.10438629830395030
1.835,68.88770297025870093
1.836,68.67101964221336630
